TokenAddress,Chain,EventID,EventType,Event,EventDetail,Pt,BaseScore
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),5.3882439411654,2024-05-01 12,-1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),5.72343028792451,2024-05-01 12,1
0x808507121b80c02388fad14726482e061b8da827,eth,15,Dex Trades,Dex Bought(ETH),3.14912559588439,2024-05-01 11,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),5.6412088810919,2024-05-01 11,-1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),5.52597893426455,2024-05-01 11,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,C-9,Open Interest Change,Open Interest Increased,0.107181713094132,2024-05-01 11,1
0x808507121b80c02388fad14726482e061b8da827,eth,15,Dex Trades,Dex Bought(ETH),3.16694356353128,2024-05-01 10,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),5.60686019700918,2024-05-01 10,-1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),5.52914757423913,2024-05-01 10,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),3.53734297817603,2024-05-01 09,-1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,N-5,Investment,Investment: Project being invested,Investors accumulating ETFSwap (ETFS) to enjoy revenue share,2024-05-01 09,1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),5.59355432283013,2024-05-01 09,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,N-8,Project News,Project News: Team token transfer out,"A whale suspected of clearing out their UNI position, two years after building it.",2024-05-01 09,-1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),5.79943825548679,2024-05-01 08,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),3.30933375946248,2024-05-01 08,-1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),4.12973947737327,2024-05-01 07,-1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),5.6400803198995,2024-05-01 07,1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),7.80064825781574,2024-05-01 06,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),2.17699508152783,2024-05-01 06,-1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,C-8,Funding Rate Change,Positive Funding Rate,-2.15e-05,2024-05-01 05,1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),7.39500429172729,2024-05-01 05,1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.58250865365358,2024-05-01 04,1
0x6982508145454ce325ddbe47a25d4ec3d2311933,eth,C-8,Funding Rate Change,Positive Funding Rate,-2.415e-05,2024-05-01 04,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,C-8,Funding Rate Change,Positive Funding Rate,-3.652e-05,2024-05-01 04,1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),7.35465597478316,2024-05-01 04,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),2.56035567819871,2024-05-01 04,-1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,C-8,Funding Rate Change,Positive Funding Rate,-9.566e-05,2024-05-01 03,1
0x6982508145454ce325ddbe47a25d4ec3d2311933,eth,C-8,Funding Rate Change,Positive Funding Rate,-5.136e-05,2024-05-01 03,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),4.72796317952856,2024-05-01 03,-1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),7.64998071502598,2024-05-01 03,1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.52053957267288,2024-05-01 03,1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),6.69881053025047,2024-05-01 02,1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.74625494423443,2024-05-01 02,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,C-8,Funding Rate Change,Positive Funding Rate,-0.00010682,2024-05-01 02,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),4.71013415832515,2024-05-01 02,-1
0x6982508145454ce325ddbe47a25d4ec3d2311933,eth,C-8,Funding Rate Change,Positive Funding Rate,-0.00012036,2024-05-01 02,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),4.82101880205419,2024-05-01 01,-1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.74216446706226,2024-05-01 01,1
0x6982508145454ce325ddbe47a25d4ec3d2311933,eth,C-8,Funding Rate Change,Positive Funding Rate,-0.00018422,2024-05-01 01,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,C-8,Funding Rate Change,Positive Funding Rate,-9.729e-05,2024-05-01 01,1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),3.02198023930973,2024-05-01 01,1
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,eth,C-8,Funding Rate Change,Positive Funding Rate,-7.96e-06,2024-05-01 01,1
0x6982508145454ce325ddbe47a25d4ec3d2311933,eth,C-8,Funding Rate Change,Positive Funding Rate,-0.00022214,2024-05-01 00,1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.7572815846078,2024-05-01 00,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),3.80042365988723,2024-05-01 00,-1
0x808507121b80c02388fad14726482e061b8da827,eth,C-13,Category Performance,Bear Category Performance Times,2,2024-05-01 00,-1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),3.01945498110809,2024-05-01 00,1
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,eth,C-8,Funding Rate Change,Positive Funding Rate,-6.57e-05,2024-05-01 00,1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.62610359521361,2024-04-30 23,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),3.97741232936439,2024-04-30 23,-1
0x6982508145454ce325ddbe47a25d4ec3d2311933,eth,5,Smart Money Trades,Smart Money Bought(ETH),2.2859567145809,2024-04-30 23,1
0x808507121b80c02388fad14726482e061b8da827,eth,11,Cex Trades,Cex Withdrawal(ETH),3.02361947592792,2024-04-30 23,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),5.17538114463941,2024-04-30 22,-1
0x6982508145454ce325ddbe47a25d4ec3d2311933,eth,5,Smart Money Trades,Smart Money Bought(ETH),2.36383281817045,2024-04-30 22,1
0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,eth,C-9,Open Interest Change,Open Interest Increased,0.0539922336651643,2024-04-30 22,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),5.27243414870827,2024-04-30 21,-1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.79463812638608,2024-04-30 21,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),5.2511750956309,2024-04-30 20,-1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.81706049402185,2024-04-30 20,1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.84446497567591,2024-04-30 19,1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),8.83748604088633,2024-04-30 19,-1
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,eth,10,Cex Trades,Cex Deposit(ETH),8.84685723134681,2024-04-30 18,-1
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,eth,11,Cex Trades,Cex Withdrawal(ETH),3.59867990017504,2024-04-30 18,1
